TICKER;EMPRESA
ABEV3.SA;AMBEV S/A
AZUL4.SA;AZUL
B3SA3.SA;B3
BBAS3.SA;BRASIL
BBDC3.SA;BRADESCO
BBDC4.SA;BRADESCO
BBSE3.SA;BBSEGURIDADE
BEEF3.SA;MINERVA
BPAC11.SA;BTGP BANCO
BRAP4.SA;BRADESPAR
BRDT3.SA;PETROBRAS BR
BRFS3.SA;BRF SA
BRKM5.SA;BRASKEM
BRML3.SA;BR MALLS PAR
BTOW3.SA;B2W DIGITAL
CCRO3.SA;CCR SA
CIEL3.SA;CIELO
CMIG4.SA;CEMIG
COGN3.SA;COGNA ON
CPFE3.SA;CPFL ENERGIA
CRFB3.SA;CARREFOUR BR
CSAN3.SA;COSAN
CSNA3.SA;SID NACIONAL
CVCB3.SA;CVC BRASIL
CYRE3.SA;CYRELA REALT
ECOR3.SA;ECORODOVIAS
EGIE3.SA;ENGIE BRASIL
ELET3.SA;ELETROBRAS
ELET6.SA;ELETROBRAS
EMBR3.SA;EMBRAER
ENBR3.SA;ENERGIAS BR
ENGI11.SA;ENERGISA
EQTL3.SA;EQUATORIAL
FLRY3.SA;FLEURY
GGBR4.SA;GERDAU
GNDI3.SA;INTERMEDICA
GOAU4.SA;GERDAU MET
GOLL4.SA;GOL
HAPV3.SA;HAPVIDA
HGTX3.SA;CIA HERING
HYPE3.SA;HYPERA
IGTA3.SA;IGUATEMI
IRBR3.SA;IRBBRASIL RE
ITSA4.SA;ITAUSA
ITUB4.SA;ITAUUNIBANCO
JBSS3.SA;JBS
KLBN11.SA;KLABIN S/A
LAME4.SA;LOJAS AMERIC
LREN3.SA;LOJAS RENNER
MGLU3.SA;MAGAZ LUIZA
MRFG3.SA;MARFRIG
MRVE3.SA;MRV
MULT3.SA;MULTIPLAN
NTCO3.SA;GRUPO NATURA
PCAR3.SA;P.ACUCAR-CBD
PETR3.SA;PETROBRAS
PETR4.SA;PETROBRAS
QUAL3.SA;QUALICORP
RADL3.SA;RAIADROGASIL
RAIL3.SA;RUMO S.A.
RENT3.SA;LOCALIZA
SANB11.SA;SANTANDER BR
SBSP3.SA;SABESP
SULA11.SA;SUL AMERICA
SUZB3.SA;SUZANO S.A.
TAEE11.SA;TAESA
TIMP3.SA;TIM PART S/A
TOTS3.SA;TOTVS
UGPA3.SA;ULTRAPAR
USIM5.SA;USIMINAS
VALE3.SA;VALE
VIVT4.SA;TELEF BRASIL
VVAR3.SA;VIAVAREJO
WEGE3.SA;WEG
YDUQ3.SA;YDUQS PART